Year,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Dec
1983,42.35,46.53,52.03,58.21,70.54,79.65,86.97,87.96,78.73,66.69,52.77,34.43
1984,38.97,48.85,50.99,61.23,72.97,81.14,86.07,85.86,76.01,64.22,52.25,44.46
1985,36.43,41.68,54.93,67.42,75.16,81.28,87.33,83.84,74.5,65.75,48.79,39.47
1986,46.04,45.95,58.59,65.44,73.72,83.16,86.09,84.58,74.59,65.59,51.33,43.72
1987,41.52,47.62,53.87,67.66,75.36,83.28,85.82,84.6,78.71,66.9,54.81,43.92
1988,38.14,45.64,54.91,65.28,74.95,85.03,88.18,86.86,77.61,67.01,54.05,44.51
1989,45.14,39.54,54.46,65.93,73.17,80.6,87.03,83.61,76.95,67.51,54.82,38.89
1990,47.16,48.15,56.12,64.99,70.9,83.25,85.75,84.9,80.37,67.23,56.89,41.86
1991,39.25,51.6,54.73,64.4,73.54,81.3,86.63,85.71,77.56,68.09,49.46,45.37
1992,43.52,50.07,56.35,64.96,74.28,79.77,83.03,82.35,77.52,67.6,49.19,40.87
1993,39.61,41.31,52.57,61.84,73.38,79.27,84.02,84.22,76.32,65.34,50.29,44.02
1994,39.78,43.07,56.82,65.61,73.49,83.93,86.47,85.23,78.67,65.91,52.86,45.7
1995,42.17,48.79,54.41,61.5,70.07,79.84,86.45,87.12,77.54,67.48,53.46,43.29
1996,40.78,47.16,51.12,63.72,72.95,82.65,86.29,85.21,75.42,66.07,49.51,43.68
1997,39.81,46.08,57.09,59.86,72.28,80.42,85.84,84.15,78.93,66.24,50.85,43.05
1998,44.31,47.82,51.84,63.46,75.15,80.35,88.07,86.95,81.95,66.92,54.73,45.99
1999,44.46,50.76,54.75,63.43,72.73,80.37,86.86,85.93,77.94,68.88,61.16,47.1
2000,44.2,51.19,58.08,65.77,75.99,81.59,86.92,87.33,79.09,67.17,47.89,38.53
2001,41.41,44.46,52.23,65.43,76.12,82.02,87.1,87.42,78.84,67.51,59.02,46.17
2002,45.07,48.54,51.73,65.95,72.46,83.98,88.79,85.95,79.63,62.58,52.74,44.87
2003,43.38,43.14,54.97,64.27,73.22,80.53,88.7,87.42,77.86,69.71,52.7,45.45
2004,40.44,43.77,59.25,65.37,74.37,80.38,85.26,82.53,78.28,66.36,53.83,45.52
2005,42.87,48.15,53.91,65.16,72.0,81.48,88.5,85.95,80.83,67.44,56.84,42.78
2006,49.64,46.69,53.73,68.45,75.49,84.09,89.58,86.13,75.87,64.67,55.53,47.1
2007,41.4,42.89,60.03,62.83,75.36,82.92,87.44,87.48,79.41,68.99,55.9,42.98
2008,40.77,46.02,54.07,63.46,72.14,82.63,87.04,84.94,77.99,66.81,54.93,42.6
2009,42.31,48.51,54.84,63.41,74.17,80.56,85.32,84.6,78.93,60.89,57.54,38.98
2010,40.03,41.16,55.11,66.15,72.01,82.58,87.01,86.83,79.79,69.44,53.82,42.03
2011,40.05,44.42,54.3,64.2,71.19,82.71,88.9,88.36,79.43,67.8,55.09,45.52
2012,47.59,48.07,62.85,67.64,76.64,84.2,89.96,87.39,80.08,66.07,55.92,45.82
2013,42.71,45.46,52.7,62.06,73.53,82.99,86.43,85.39,79.18,65.32,52.48,41.52
2014,42.44,43.02,52.84,64.56,74.1,81.81,85.8,84.22,78.26,69.39,50.29,45.34
2015,43.27,44.4,57.76,65.84,72.54,83.64,85.96,85.77,81.3,69.1,55.22,48.06
2016,41.86,50.81,59.47,65.57,72.5,84.92,87.91,85.8,79.39,69.89,59.56,42.64
2017,42.78,52.14,57.81,65.88,73.24,83.25,88.56,84.27,78.75,68.41,56.17,44.82
